DATE,A939RX0Q048SBEA
1998-01,43062
1998-02,43155.33333
1998-03,43248.66667
1998-04,43342
1998-05,43477.33333
1998-06,43612.66667
1998-07,43748
1998-08,43939
1998-09,44130
1998-10,44321
1998-11,44423
1998-12,44525
1999-01,44627
1999-02,44710
1999-03,44793
1999-04,44876
1999-05,45026
1999-06,45176
1999-07,45326
1999-08,45528
1999-09,45730
1999-10,45932
1999-11,45949
1999-12,45966
2000-01,45983
2000-02,46223.33333
2000-03,46463.66667
2000-04,46704
2000-05,46677.33333
2000-06,46650.66667
2000-07,46624
2000-08,46675
2000-09,46726
2000-10,46777
2000-11,46691
2000-12,46605
2001-01,46519
2001-02,46578.66667
2001-03,46638.33333
2001-04,46698
2001-05,46595.33333
2001-06,46492.66667
2001-07,46390
2001-08,46393.33333
2001-09,46396.66667
2001-10,46400
2001-11,46494.33333
2001-12,46588.66667
2002-01,46683
2002-02,46744
2002-03,46805
2002-04,46866
2002-05,46889.33333
2002-06,46912.66667
2002-07,46936
2002-08,46918.33333
2002-09,46900.66667
2002-10,46883
2002-11,46931
2002-12,46979
2003-01,47027
2003-02,47132
2003-03,47237
2003-04,47342
2003-05,47565.33333
2003-06,47788.66667
2003-07,48012
2003-08,48158
2003-09,48304
2003-10,48450
2003-11,48511
2003-12,48572
2004-01,48633
2004-02,48723.66667
2004-03,48814.33333
2004-04,48905
2004-05,49017.66667
2004-06,49130.33333
2004-07,49243
2004-08,49369.66667
2004-09,49496.33333
2004-10,49623
2004-11,49771.33333
2004-12,49919.66667
2005-01,50068
2005-02,50113.33333
2005-03,50158.66667
2005-04,50204
2005-05,50292.66667
2005-06,50381.33333
2005-07,50470
2005-08,50523
2005-09,50576
2005-10,50629
2005-11,50819.33333
2005-12,51009.66667
2006-01,51200
2006-02,51203.33333
2006-03,51206.66667
2006-04,51210
2006-05,51191.66667
2006-06,51173.33333
2006-07,51155
2006-08,51255
2006-09,51355
2006-10,51455
2006-11,51467.33333
2006-12,51479.66667
2007-01,51492
2007-02,51563
2007-03,51634
2007-04,51705
2007-05,51764
2007-06,51823
2007-07,51882
2007-08,51943.33333
2007-09,52004.66667
2007-10,52066
2007-11,51957.33333
2007-12,51848.66667
2008-01,51740
2008-02,51801
2008-03,51862
2008-04,51923
2008-05,51789.66667
2008-06,51656.33333
2008-07,51523
2008-08,51109
2008-09,50695
2008-10,50281
2008-11,50052
2008-12,49823
2009-01,49594
2009-02,49532
2009-03,49470
2009-04,49408
2009-05,49429.66667
2009-06,49451.33333
2009-07,49473
2009-08,49610.66667
2009-09,49748.33333
2009-10,49886
2009-11,49936
2009-12,49986
2010-01,50036
2010-02,50167
2010-03,50298
2010-04,50429
2010-05,50526
2010-06,50623
2010-07,50720
2010-08,50774.33333
2010-09,50828.66667
2010-10,50883
2010-11,50814.66667
2010-12,50746.33333
2011-01,50678
2011-02,50765
2011-03,50852
2011-04,50939
2011-05,50899.33333
2011-06,50859.66667
2011-07,50820
2011-08,50977.33333
2011-09,51134.66667
2011-10,51292
2011-11,51404.66667
2011-12,51517.33333
2012-01,51630
2012-02,51680.66667
2012-03,51731.33333
2012-04,51782
2012-05,51779.33333
2012-06,51776.66667
2012-07,51774
2012-08,51760
2012-09,51746
2012-10,51732
2012-11,51856.66667
2012-12,51981.33333
2013-01,52106
2013-02,52103.66667
2013-03,52101.33333
2013-04,52099
2013-05,52203
2013-06,52307
2013-07,52411
2013-08,52501
2013-09,52591
2013-10,52681
2013-11,52591
2013-12,52501
2014-01,52411
2014-02,52606.33333
2014-03,52801.66667
2014-04,52997
2014-05,53167
2014-06,53337
2014-07,53507
2014-08,53551.66667
2014-09,53596.33333
2014-10,53641
2014-11,53758
2014-12,53875
2015-01,53992
2015-02,54067
2015-03,54142
2015-04,54217
2015-05,54240
2015-06,54263
2015-07,54286
2015-08,54277.33333
2015-09,54268.66667
2015-10,54260
2015-11,54337
2015-12,54414
2016-01,54491
2016-02,54516.66667
2016-03,54542.33333
2016-04,54568
2016-05,54643.33333
2016-06,54718.66667
2016-07,54794
2016-08,54852.33333
2016-09,54910.66667
2016-10,54969
2016-11,55030
2016-12,55091
2017-01,55152
2017-02,55229.33333
2017-03,55306.66667
2017-04,55384
2017-05,55486.66667
2017-06,55589.33333
2017-07,55692
2017-08,55838.33333
2017-09,55984.66667
2017-10,56131
2017-11,56253
2017-12,56375
2018-01,56497
2018-02,56632
2018-03,56767
2018-04,56902
2018-05,56966.33333
2018-06,57030.66667
2018-07,57095
2018-08,57112
2018-09,57129
2018-10,57146
2018-11,57241.33333
2018-12,57336.66667
2019-01,57432
2019-02,57563.33333
2019-03,57694.66667
2019-04,57826
2019-05,57931
2019-06,58036
2019-07,58141
2019-08,58205
2019-09,58269
2019-10,58333
2019-11,58059.33333
2019-12,57785.66667
2020-01,57512
2020-02,55779.33333
2020-03,54046.66667
2020-04,52314
2020-05,53603.33333
2020-06,54892.66667
2020-07,56182
2020-08,56365.33333
2020-09,56548.66667
2020-10,56732
2020-11,56943
2020-12,57012
