DATE,INTEREST
02-01-1998,6.994
06-02-1998,7.026666667
06-03-1998,7.143333333
03-04-1998,7.136666667
01-05-1998,7.144
05-06-1998,7.01
03-07-1998,6.952
07-08-1998,6.923333333
04-09-1998,6.75
02-10-1998,6.71
06-11-1998,6.893333333
04-12-1998,6.738
08-01-1999,6.8
05-02-1999,6.78
05-03-1999,7.06
02-04-1999,6.916
07-05-1999,7.116666667
04-06-1999,7.523333333
02-07-1999,7.632
06-08-1999,7.99
03-09-1999,7.843333333
01-10-1999,7.852
05-11-1999,7.733333333
03-12-1999,7.912
07-01-2000,8.196666667
04-02-2000,8.33
03-03-2000,8.24
07-04-2000,8.16
05-05-2000,8.48
02-06-2000,8.288
07-07-2000,8.153333333
04-08-2000,8.04
01-09-2000,7.912
06-10-2000,7.833333333
03-11-2000,7.75
01-12-2000,7.382
05-01-2001,6.993333333
02-02-2001,7.026666667
02-03-2001,6.952
06-04-2001,7.063333333
04-05-2001,7.126666667
01-06-2001,7.16
06-07-2001,7.16
03-08-2001,6.95
07-09-2001,6.85
05-10-2001,6.61
02-11-2001,6.658
07-12-2001,7.033333333
04-01-2002,7.01
01-02-2002,6.92
01-03-2002,7.014
05-04-2002,7.02
03-05-2002,6.806
07-06-2002,6.683333333
05-07-2002,6.533333333
02-08-2002,6.29
06-09-2002,6.126666667
04-10-2002,6.046666667
01-11-2002,6.068
06-12-2002,6.086666667
03-01-2003,5.916
07-02-2003,5.86
07-03-2003,5.69
04-04-2003,5.82
02-05-2003,5.484
06-06-2003,5.226666667
04-07-2003,5.53
01-08-2003,6.264
05-09-2003,6.203333333
03-10-2003,5.952
07-11-2003,5.946666667
05-12-2003,5.876
08-01-2004,5.723333333
05-02-2004,5.653333333
04-03-2004,5.46
01-04-2004,5.83
06-05-2004,6.253333333
03-06-2004,6.3
01-07-2004,6.056
05-08-2004,5.883333333
02-09-2004,5.754
07-10-2004,5.75
04-11-2004,5.733333333
02-12-2004,5.752
06-01-2005,5.726666667
03-02-2005,5.606666667
03-03-2005,5.928
07-04-2005,5.88
05-05-2005,5.743333333
02-06-2005,5.582
07-07-2005,5.67
04-08-2005,5.836666667
01-09-2005,5.774
06-10-2005,6.036666667
03-11-2005,6.346666667
01-12-2005,6.272
05-01-2006,6.153333333
02-02-2006,6.25
02-03-2006,6.324
06-04-2006,6.483333333
04-05-2006,6.59
01-06-2006,6.682
06-07-2006,6.776666667
03-08-2006,6.524
07-09-2006,6.433333333
05-10-2006,6.343333333
02-11-2006,6.24
07-12-2006,6.12
04-01-2007,6.206666667
01-02-2007,6.306666667
01-03-2007,6.156
05-04-2007,6.186666667
03-05-2007,6.262
07-06-2007,6.653333333
05-07-2007,6.696666667
02-08-2007,6.572
06-09-2007,6.37
04-10-2007,6.39
01-11-2007,6.208
06-12-2007,6.07
03-01-2008,5.758
07-02-2008,5.81
06-03-2008,6.01
03-04-2008,5.88
01-05-2008,6.036
05-06-2008,6.276666667
03-07-2008,6.426
07-08-2008,6.503333333
04-09-2008,6.02
02-10-2008,6.2
06-11-2008,6.126666667
04-12-2008,5.286
08-01-2009,5.03
05-02-2009,5.15
05-03-2009,5.053333333
02-04-2009,4.81
07-05-2009,4.84
04-06-2009,5.42
02-07-2009,5.222
06-08-2009,5.21
03-09-2009,5.063333333
01-10-2009,4.952
05-11-2009,4.906666667
03-12-2009,4.93
07-01-2010,5.046666667
04-02-2010,4.97
04-03-2010,4.96
01-04-2010,5.098
06-05-2010,4.923333333
03-06-2010,4.753333333
01-07-2010,4.564
05-08-2010,4.45
02-09-2010,4.346
07-10-2010,4.223333333
04-11-2010,4.266666667
02-12-2010,4.714
06-01-2011,4.74
03-02-2011,4.953333333
03-03-2011,4.836
07-04-2011,4.86
05-05-2011,4.65
02-06-2011,4.51
07-07-2011,4.543333333
04-08-2011,4.286666667
01-09-2011,4.106
06-10-2011,4.056666667
03-11-2011,3.996666667
01-12-2011,3.958
05-01-2012,3.893333333
02-02-2012,3.87
01-03-2012,3.954
05-04-2012,3.92
03-05-2012,3.798
07-06-2012,3.68
05-07-2012,3.57
02-08-2012,3.602
06-09-2012,3.53
