DATE,HOUST
01-01-1998,1525
01-02-1998,1584
01-03-1998,1567
01-04-1998,1540
01-05-1998,1536
01-06-1998,1641
01-07-1998,1698
01-08-1998,1614
01-09-1998,1582
01-10-1998,1715
01-11-1998,1660
01-12-1998,1792
01-01-1999,1748
01-02-1999,1670
01-03-1999,1710
01-04-1999,1553
01-05-1999,1611
01-06-1999,1559
01-07-1999,1669
01-08-1999,1648
01-09-1999,1635
01-10-1999,1608
01-11-1999,1648
01-12-1999,1708
01-01-2000,1636
01-02-2000,1737
01-03-2000,1604
01-04-2000,1626
01-05-2000,1575
01-06-2000,1559
01-07-2000,1463
01-08-2000,1541
01-09-2000,1507
01-10-2000,1549
01-11-2000,1551
01-12-2000,1532
01-01-2001,1600
01-02-2001,1625
01-03-2001,1590
01-04-2001,1649
01-05-2001,1605
01-06-2001,1636
01-07-2001,1670
01-08-2001,1567
01-09-2001,1562
01-10-2001,1540
01-11-2001,1602
01-12-2001,1568
01-01-2002,1698
01-02-2002,1829
01-03-2002,1642
01-04-2002,1592
01-05-2002,1764
01-06-2002,1717
01-07-2002,1655
01-08-2002,1633
01-09-2002,1804
01-10-2002,1648
01-11-2002,1753
01-12-2002,1788
01-01-2003,1853
01-02-2003,1629
01-03-2003,1726
01-04-2003,1643
01-05-2003,1751
01-06-2003,1867
01-07-2003,1897
01-08-2003,1833
01-09-2003,1939
01-10-2003,1967
01-11-2003,2083
01-12-2003,2057
01-01-2004,1911
01-02-2004,1846
01-03-2004,1998
01-04-2004,2003
01-05-2004,1981
01-06-2004,1828
01-07-2004,2002
01-08-2004,2024
01-09-2004,1905
01-10-2004,2072
01-11-2004,1782
01-12-2004,2042
01-01-2005,2144
01-02-2005,2207
01-03-2005,1864
01-04-2005,2061
01-05-2005,2025
01-06-2005,2068
01-07-2005,2054
01-08-2005,2095
01-09-2005,2151
01-10-2005,2065
01-11-2005,2147
01-12-2005,1994
01-01-2006,2273
01-02-2006,2119
01-03-2006,1969
01-04-2006,1821
01-05-2006,1942
01-06-2006,1802
01-07-2006,1737
01-08-2006,1650
01-09-2006,1720
01-10-2006,1491
01-11-2006,1570
01-12-2006,1649
01-01-2007,1409
01-02-2007,1480
01-03-2007,1495
01-04-2007,1490
01-05-2007,1415
01-06-2007,1448
01-07-2007,1354
01-08-2007,1330
01-09-2007,1183
01-10-2007,1264
01-11-2007,1197
01-12-2007,1037
01-01-2008,1084
01-02-2008,1103
01-03-2008,1005
01-04-2008,1013
01-05-2008,973
01-06-2008,1046
01-07-2008,923
01-08-2008,844
01-09-2008,820
01-10-2008,777
01-11-2008,652
01-12-2008,560
01-01-2009,490
01-02-2009,582
01-03-2009,505
01-04-2009,478
01-05-2009,540
01-06-2009,585
01-07-2009,594
01-08-2009,586
01-09-2009,585
01-10-2009,534
01-11-2009,588
01-12-2009,581
01-01-2010,614
01-02-2010,604
01-03-2010,636
01-04-2010,687
01-05-2010,583
01-06-2010,536
01-07-2010,546
01-08-2010,599
01-09-2010,594
01-10-2010,543
01-11-2010,545
01-12-2010,539
01-01-2011,630
01-02-2011,517
01-03-2011,600
01-04-2011,554
01-05-2011,561
01-06-2011,608
01-07-2011,623
01-08-2011,585
01-09-2011,650
01-10-2011,610
01-11-2011,711
01-12-2011,694
01-01-2012,723
01-02-2012,704
01-03-2012,695
01-04-2012,753
01-05-2012,708
01-06-2012,757
01-07-2012,740
01-08-2012,754
01-09-2012,847
01-10-2012,915
01-11-2012,833
01-12-2012,976
01-01-2013,888
01-02-2013,962
01-03-2013,1010
01-04-2013,835
01-05-2013,930
01-06-2013,839
01-07-2013,880
01-08-2013,917
01-09-2013,850
01-10-2013,925
01-11-2013,1100
01-12-2013,1002
01-01-2014,888
01-02-2014,944
01-03-2014,970
01-04-2014,1043
01-05-2014,1007
01-06-2014,911
01-07-2014,1085
01-08-2014,984
01-09-2014,1023
01-10-2014,1074
01-11-2014,1001
01-12-2014,1073
01-01-2015,1085
01-02-2015,886
01-03-2015,960
01-04-2015,1190
01-05-2015,1079
01-06-2015,1205
01-07-2015,1146
01-08-2015,1130
01-09-2015,1224
01-10-2015,1058
01-11-2015,1172
01-12-2015,1146
01-01-2016,1092
01-02-2016,1225
01-03-2016,1111
01-04-2016,1163
01-05-2016,1148
01-06-2016,1203
01-07-2016,1239
01-08-2016,1171
01-09-2016,1068
01-10-2016,1313
01-11-2016,1140
01-12-2016,1252
01-01-2017,1193
01-02-2017,1281
01-03-2017,1190
01-04-2017,1145
01-05-2017,1160
01-06-2017,1247
01-07-2017,1202
01-08-2017,1159
01-09-2017,1175
01-10-2017,1248
01-11-2017,1278
01-12-2017,1182
01-01-2018,1309
01-02-2018,1289
01-03-2018,1327
01-04-2018,1285
01-05-2018,1354
01-06-2018,1199
01-07-2018,1193
01-08-2018,1288
01-09-2018,1238
01-10-2018,1208
01-11-2018,1183
01-12-2018,1095
01-01-2019,1244
01-02-2019,1142
01-03-2019,1203
01-04-2019,1282
01-05-2019,1303
01-06-2019,1237
01-07-2019,1224
01-08-2019,1371
01-09-2019,1285
01-10-2019,1318
01-11-2019,1350
01-12-2019,1547
01-01-2020,1589
01-02-2020,1589
01-03-2020,1277
01-04-2020,938
01-05-2020,1046
01-06-2020,1273
01-07-2020,1497
01-08-2020,1376
01-09-2020,1448
01-10-2020,1514
01-11-2020,1551
01-12-2020,1661
