DATE,POPTHM
01-01-1998,274732
01-02-1998,274943
01-03-1998,275175
01-04-1998,275434
01-05-1998,275700
01-06-1998,275976
01-07-1998,276266
01-08-1998,276566
01-09-1998,276859
01-10-1998,277140
01-11-1998,277402
01-12-1998,277658
01-01-1999,277891
01-02-1999,278095
01-03-1999,278324
01-04-1999,278584
01-05-1999,278859
01-06-1999,279148
01-07-1999,279448
01-08-1999,279752
01-09-1999,280053
01-10-1999,280337
01-11-1999,280594
01-12-1999,280846
01-01-2000,281083
01-02-2000,281299
01-03-2000,281531
01-04-2000,281763
01-05-2000,281996
01-06-2000,282247
01-07-2000,282504
01-08-2000,282769
01-09-2000,283033
01-10-2000,283285
01-11-2000,283523
01-12-2000,283748
01-01-2001,283960
01-02-2001,284166
01-03-2001,284380
01-04-2001,284602
01-05-2001,284834
01-06-2001,285076
01-07-2001,285324
01-08-2001,285584
01-09-2001,285842
01-10-2001,286086
01-11-2001,286315
01-12-2001,286533
01-01-2002,286739
01-02-2002,286935
01-03-2002,287131
01-04-2002,287343
01-05-2002,287571
01-06-2002,287808
01-07-2002,288051
01-08-2002,288303
01-09-2002,288554
01-10-2002,288794
01-11-2002,289012
01-12-2002,289214
01-01-2003,289412
01-02-2003,289606
01-03-2003,289809
01-04-2003,290024
01-05-2003,290250
01-06-2003,290484
01-07-2003,290726
01-08-2003,290974
01-09-2003,291222
01-10-2003,291463
01-11-2003,291677
01-12-2003,291868
01-01-2004,292046
01-02-2004,292230
01-03-2004,292434
01-04-2004,292651
01-05-2004,292872
01-06-2004,293103
01-07-2004,293350
01-08-2004,293603
01-09-2004,293857
01-10-2004,294104
01-11-2004,294337
01-12-2004,294561
01-01-2005,294768
01-02-2005,294955
01-03-2005,295149
01-04-2005,295359
01-05-2005,295582
01-06-2005,295824
01-07-2005,296077
01-08-2005,296338
01-09-2005,296606
01-10-2005,296857
01-11-2005,297089
01-12-2005,297311
01-01-2006,297526
01-02-2006,297734
01-03-2006,297950
01-04-2006,298170
01-05-2006,298401
01-06-2006,298653
01-07-2006,298910
01-08-2006,299178
01-09-2006,299452
01-10-2006,299710
01-11-2006,299950
01-12-2006,300178
01-01-2007,300398
01-02-2007,300608
01-03-2007,300823
01-04-2007,301045
01-05-2007,301278
01-06-2007,301528
01-07-2007,301790
01-08-2007,302064
01-09-2007,302334
01-10-2007,302590
01-11-2007,302834
01-12-2007,303062
01-01-2008,303280
01-02-2008,303494
01-03-2008,303707
01-04-2008,303926
01-05-2008,304157
01-06-2008,304396
01-07-2008,304646
01-08-2008,304903
01-09-2008,305158
01-10-2008,305403
01-11-2008,305620
01-12-2008,305827
01-01-2009,306035
01-02-2009,306237
01-03-2009,306438
01-04-2009,306645
01-05-2009,306863
01-06-2009,307090
01-07-2009,307322
01-08-2009,307570
01-09-2009,307826
01-10-2009,308071
01-11-2009,308289
01-12-2009,308495
01-01-2010,308706
01-02-2010,308904
01-03-2010,309095
01-04-2010,309279
01-05-2010,309457
01-06-2010,309643
01-07-2010,309847
01-08-2010,310060
01-09-2010,310280
01-10-2010,310488
01-11-2010,310677
01-12-2010,310858
01-01-2011,311023
01-02-2011,311173
01-03-2011,311333
01-04-2011,311502
01-05-2011,311678
01-06-2011,311872
01-07-2011,312077
01-08-2011,312292
01-09-2011,312509
01-10-2011,312708
01-11-2011,312889
01-12-2011,313064
01-01-2012,313227
01-02-2012,313383
01-03-2012,313546
01-04-2012,313710
01-05-2012,313883
01-06-2012,314072
01-07-2012,314272
01-08-2012,314489
01-09-2012,314703
01-10-2012,314905
01-11-2012,315092
01-12-2012,315258
01-01-2013,315400
01-02-2013,315535
01-03-2013,315682
01-04-2013,315841
01-05-2013,316016
01-06-2013,316202
01-07-2013,316405
01-08-2013,316627
01-09-2013,316846
01-10-2013,317055
01-11-2013,317248
01-12-2013,317429
01-01-2014,317598
01-02-2014,317758
01-03-2014,317924
01-04-2014,318098
01-05-2014,318284
01-06-2014,318479
01-07-2014,318692
01-08-2014,318921
01-09-2014,319149
01-10-2014,319367
01-11-2014,319561
01-12-2014,319742
01-01-2015,319904
01-02-2015,320053
01-03-2015,320215
01-04-2015,320390
01-05-2015,320574
01-06-2015,320769
01-07-2015,320982
01-08-2015,321205
01-09-2015,321428
01-10-2015,321641
01-11-2015,321834
01-12-2015,322020
01-01-2016,322196
01-02-2016,322353
01-03-2016,322513
01-04-2016,322685
01-05-2016,322867
01-06-2016,323061
01-07-2016,323265
01-08-2016,323473
01-09-2016,323680
01-10-2016,323876
01-11-2016,324052
01-12-2016,324216
01-01-2017,324362
01-02-2017,324494
01-03-2017,324632
01-04-2017,324783
01-05-2017,324944
01-06-2017,325117
01-07-2017,325296
01-08-2017,325476
01-09-2017,325653
01-10-2017,325820
01-11-2017,325968
01-12-2017,326100
01-01-2018,326216
01-02-2018,326323
01-03-2018,326437
01-04-2018,326563
01-05-2018,326699
01-06-2018,326847
01-07-2018,327005
01-08-2018,327167
01-09-2018,327328
01-10-2018,327477
01-11-2018,327607
01-12-2018,327722
01-01-2019,327824
01-02-2019,327921
01-03-2019,328025
01-04-2019,328140
01-05-2019,328267
01-06-2019,328404
01-07-2019,328561
01-08-2019,328730
01-09-2019,328897
01-10-2019,329054
01-11-2019,329191
01-12-2019,329314
01-01-2020,329423
01-02-2020,329527
01-03-2020,329638
01-04-2020,329760
01-05-2020,329894
01-06-2020,330038
01-07-2020,330199
01-08-2020,330368
01-09-2020,330535
01-10-2020,330692
01-11-2020,330829
01-12-2020,330924
