DATE,A939RX0Q048SBEA
01-01-1998,43062
01-04-1998,43342
01-07-1998,43748
01-10-1998,44321
01-01-1999,44627
01-04-1999,44876
01-07-1999,45326
01-10-1999,45932
01-01-2000,45983
01-04-2000,46704
01-07-2000,46624
01-10-2000,46777
01-01-2001,46519
01-04-2001,46698
01-07-2001,46390
01-10-2001,46400
01-01-2002,46683
01-04-2002,46866
01-07-2002,46936
01-10-2002,46883
01-01-2003,47027
01-04-2003,47342
01-07-2003,48012
01-10-2003,48450
01-01-2004,48633
01-04-2004,48905
01-07-2004,49243
01-10-2004,49623
01-01-2005,50068
01-04-2005,50204
01-07-2005,50470
01-10-2005,50629
01-01-2006,51200
01-04-2006,51210
01-07-2006,51155
01-10-2006,51455
01-01-2007,51492
01-04-2007,51705
01-07-2007,51882
01-10-2007,52066
01-01-2008,51740
01-04-2008,51923
01-07-2008,51523
01-10-2008,50281
01-01-2009,49594
01-04-2009,49408
01-07-2009,49473
01-10-2009,49886
01-01-2010,50036
01-04-2010,50429
01-07-2010,50720
01-10-2010,50883
01-01-2011,50678
01-04-2011,50939
01-07-2011,50820
01-10-2011,51292
01-01-2012,51630
01-04-2012,51782
01-07-2012,51774
01-10-2012,51732
01-01-2013,52106
01-04-2013,52099
01-07-2013,52411
01-10-2013,52681
01-01-2014,52411
01-04-2014,52997
01-07-2014,53507
01-10-2014,53641
01-01-2015,53992
01-04-2015,54217
01-07-2015,54286
01-10-2015,54260
01-01-2016,54491
01-04-2016,54568
01-07-2016,54794
01-10-2016,54969
01-01-2017,55152
01-04-2017,55384
01-07-2017,55692
01-10-2017,56131
01-01-2018,56497
01-04-2018,56902
01-07-2018,57095
01-10-2018,57146
01-01-2019,57432
01-04-2019,57826
01-07-2019,58141
01-10-2019,58333
01-01-2020,57512
01-04-2020,52314
01-07-2020,56182
01-10-2020,56732
