Year,Quarter,Risk
1998,1,10.024
1998,2,9.668
1998,3,10.491
1998,4,12.708
1999,1,12.709
1999,2,13.179
1999,3,15.512
1999,4,16.97
2000,1,17.087
2000,2,16.594
2000,3,15.357
2000,4,15.779
2001,1,16.253
2001,2,15.664
2001,3,15.213
2001,4,15.188
2002,1,15.739
2002,2,15.743
2002,3,16.048
2002,4,16.404
2003,1,17.231
2003,2,16.863
2003,3,16.945
2003,4,18.715
2004,1,18.895
2004,2,18.759
2004,3,20.181
2004,4,19.687
2005,1,19.95
2005,2,20.327
2005,3,20.09
2005,4,21.088
2006,1,21.774
2006,2,21.437
2006,3,21.362
2006,4,21.321
2007,1,18.249
2007,2,11.542
2007,3,10.264
2007,4,10.363
2008,1,8.207
2008,2,6.064
2008,3,5.199
2008,4,5.897
2009,1,6.591
2009,2,5.958
2009,3,6.325
2009,4,7.568
2010,1,7.014
2010,2,6.017
2010,3,4.672
2010,4,4.096
2011,1,5.567
2011,2,3.208
2011,3,3.64
2011,4,4.221
2012,1,4.65
2012,2,3.613
2012,3,3.82
2012,4,3.459
2013,1,2.854
2013,2,2.375
2013,3,2.293
2013,4,2.422
2014,1,2.564
2014,2,2.342
2014,3,2.314
2014,4,2.357
2015,1,2.409
2015,2,2.335
2015,3,2.328
2015,4,2.432
2016,1,2.614
2016,2,2.535
2016,3,2.54
2016,4,2.578
2017,1,2.642
2017,2,2.558
2017,3,2.485
2017,4,2.584
2018,1,2.518
2018,2,2.568
2018,3,2.574
2018,4,2.618
2019,1,2.774
2019,2,2.791
2019,3,2.725
2019,4,2.597
2020,1,2.77
2020,2,2.851
2020,3,2.688
2020,4,2.744
